"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6,U5,U8,U2,U10,U4,U11,U9,U7,U3,U12,U1";"LED_WS2812-2020";12;"WS2812-2020";;;
2;"C4,C5,C6,C2,C3,C1";"C_0603_1608Metric";6;"100n";;;
3;"SW1";"SW_SPST_B3U-1000P";1;"LIFT";;;
4;"SW5";"SW_SPST_B3U-1000P";1;"DROP";;;
5;"SW4";"SW_SPST_B3U-1000P";1;"TRIGGER";;;
6;"SW3";"SW_SPST_B3U-1000P";1;"REVERSE";;;
7;"SW2";"SW_SPST_B3U-1000P";1;"LOW";;;
8;"SW6";"SW_SPST_B3U-1000P";1;"HIGH";;;
9;"TP9";"TestPoint_Pad_D1.5mm";1;"+5V";;;
10;"TP3";"TestPoint_Pad_D1.5mm";1;"LOW";;;
11;"R1,R2";"R_0603_1608Metric";2;"10k";;;
12;"J1";"Molex-52271-1079-Manufacturer_Recommended";1;"52271-1079";;;
13;"TP4";"TestPoint_Pad_D1.5mm";1;"DROP";;;
14;"TP2";"TestPoint_Pad_D1.5mm";1;"LIFT";;;
15;"TP7";"TestPoint_Pad_D1.5mm";1;"TRIGGER";;;
16;"TP5";"TestPoint_Pad_D1.5mm";1;"REVERSE";;;
17;"TP1";"TestPoint_Pad_D1.5mm";1;"GND";;;
18;"C7";"C_0603_1608Metric";1;"50p";;;
19;"Q1";"SOT-23";1;"BSS138";;;
20;"TP8";"TestPoint_Pad_D1.5mm";1;"LED DATA";;;
21;"TP10";"TestPoint_Pad_D1.5mm";1;"3v3";;;
22;"TP6";"TestPoint_Pad_D1.5mm";1;"HIGH";;;
